powiat,label_pl,label_en
http://www.wikidata.org/entity/Q83395,powiat olsztyński,Olsztyn County
http://www.wikidata.org/entity/Q636625,powiat bolesławiecki,Bolesławiec County
http://www.wikidata.org/entity/Q1125759,powiat sieradzki,Sieradz County
http://www.wikidata.org/entity/Q637018,powiat jeleniogórski,Jelenia Góra County
http://www.wikidata.org/entity/Q1340642,powiat tarnowski,Tarnów County
http://www.wikidata.org/entity/Q1125769,powiat augustowski,Augustów County
http://www.wikidata.org/entity/Q1341069,powiat tczewski,Tczew County
http://www.wikidata.org/entity/Q101575,powiat poznański,Poznań County
http://www.wikidata.org/entity/Q636686,powiat dzierżoniowski,Dzierżoniów County
http://www.wikidata.org/entity/Q117563,powiat giżycki,Giżycko County
http://www.wikidata.org/entity/Q1341082,powiat sztumski,Sztum County
http://www.wikidata.org/entity/Q1125777,powiat łomżyński,Łomża County
http://www.wikidata.org/entity/Q637105,powiat jaworski,Jawor County
http://www.wikidata.org/entity/Q636757,powiat górowski,Góra County
http://www.wikidata.org/entity/Q119729,powiat pińczowski,Pińczów County
http://www.wikidata.org/entity/Q657314,powiat średzki,Środa Śląska County
http://www.wikidata.org/entity/Q1125923,powiat siemiatycki,Siemiatycze County
http://www.wikidata.org/entity/Q120033,powiat staszowski,Staszów County
http://www.wikidata.org/entity/Q133241,powiat nowotomyski,Nowy Tomyśl County
http://www.wikidata.org/entity/Q125413,powiat hrubieszowski,Hrubieszów County
http://www.wikidata.org/entity/Q1126256,powiat hajnowski,Hajnówka County
http://www.wikidata.org/entity/Q679412,powiat przemyski,Przemyśl County
http://www.wikidata.org/entity/Q1126261,powiat białostocki,Białystok County
http://www.wikidata.org/entity/Q637226,powiat kamiennogórski,Kamienna Góra County
http://www.wikidata.org/entity/Q1138182,powiat wejherowski,Wejherowo County
http://www.wikidata.org/entity/Q687625,powiat radziejowski,Radziejów County
http://www.wikidata.org/entity/Q133248,powiat rawicki,Rawicz County
http://www.wikidata.org/entity/Q1140489,powiat mikołowski,Mikołów County
http://www.wikidata.org/entity/Q637351,powiat kłodzki,Kłodzko County
http://www.wikidata.org/entity/Q1144081,powiat skierniewicki,Skierniewice County
http://www.wikidata.org/entity/Q1140732,powiat cieszyński,Cieszyn County
http://www.wikidata.org/entity/Q133252,powiat szamotulski,Szamotuły County
http://www.wikidata.org/entity/Q1411606,powiat goleniowski,Goleniów County
http://www.wikidata.org/entity/Q1144086,powiat legionowski,Legionowo County
http://www.wikidata.org/entity/Q1434951,powiat kamieński,Kamień County
http://www.wikidata.org/entity/Q1135359,powiat olecki,Olecko County
http://www.wikidata.org/entity/Q1140734,powiat elbląski,Elbląg County
http://www.wikidata.org/entity/Q643915,powiat jarosławski,Jarosław County
http://www.wikidata.org/entity/Q1135363,powiat suwalski,Suwałki County
http://www.wikidata.org/entity/Q1144093,powiat łowicki,Łowicz County
http://www.wikidata.org/entity/Q716143,powiat ząbkowicki,Ząbkowice Śląskie County
http://www.wikidata.org/entity/Q1436158,powiat skarżyski,Skarżysko County
http://www.wikidata.org/entity/Q317976,powiat strzelecko-drezdenecki,Strzelce-Drezdenko County
http://www.wikidata.org/entity/Q716173,powiat złotoryjski,Złotoryja County
http://www.wikidata.org/entity/Q133161,powiat chodzieski,Chodzież County
http://www.wikidata.org/entity/Q133191,powiat krotoszyński,Krotoszyn County
http://www.wikidata.org/entity/Q1135368,powiat ełcki,Ełk County
http://www.wikidata.org/entity/Q133164,powiat czarnkowsko-trzcianecki,Czarnków-Trzcianka County
http://www.wikidata.org/entity/Q1553070,powiat starachowicki,Starachowice County
http://www.wikidata.org/entity/Q1135372,powiat zawierciański,Zawiercie County
http://www.wikidata.org/entity/Q716351,powiat świdnicki,Świdnica County
http://www.wikidata.org/entity/Q318002,powiat sulęciński,Sulęcin County
http://www.wikidata.org/entity/Q4273107,powiat namysłowski,Namysłów County
http://www.wikidata.org/entity/Q133166,powiat gnieźnieński,Gniezno County
http://www.wikidata.org/entity/Q133195,powiat kępiński,Kępno County
http://www.wikidata.org/entity/Q6695104,Powiat lubawski,Lubawa County
http://www.wikidata.org/entity/Q11825537,powiat baranowicki,Baranavichy County
http://www.wikidata.org/entity/Q133202,powiat leszczyński,Leszno County
http://www.wikidata.org/entity/Q11825582,powiat drohobycki,Powiat drohobycki
http://www.wikidata.org/entity/Q179986,powiat strzeliński,Strzelin County
http://www.wikidata.org/entity/Q1341090,powiat starogardzki,Starogard County
http://www.wikidata.org/entity/Q318018,powiat słubicki,Słubice County
http://www.wikidata.org/entity/Q773215,powiat grudziądzki,Grudziądz County
http://www.wikidata.org/entity/Q715974,powiat wrocławski,Wrocław County
http://www.wikidata.org/entity/Q133209,powiat międzychodzki,Międzychód County
http://www.wikidata.org/entity/Q219987,powiat pucki,Puck County
http://www.wikidata.org/entity/Q716072,powiat zgorzelecki,Zgorzelec County
http://www.wikidata.org/entity/Q773314,powiat inowrocławski,Inowrocław County
http://www.wikidata.org/entity/Q256618,powiat kolneński,Kolno County
http://www.wikidata.org/entity/Q1341112,powiat kwidzyński,Kwidzyn County
http://www.wikidata.org/entity/Q133213,powiat obornicki,Oborniki County
http://www.wikidata.org/entity/Q773421,powiat lipnowski,Lipno County
http://www.wikidata.org/entity/Q740897,powiat kolbuszowski,Kolbuszowa County
http://www.wikidata.org/entity/Q1344024,powiat białogardzki,Białogard County
http://www.wikidata.org/entity/Q133216,powiat ostrowski,Ostrów Wielkopolski County
http://www.wikidata.org/entity/Q727262,powiat białobrzeski,Białobrzegi County
http://www.wikidata.org/entity/Q1144100,powiat wieluński,Wieluń County
http://www.wikidata.org/entity/Q1144105,powiat piotrkowski,Piotrków County
http://www.wikidata.org/entity/Q133257,powiat słupecki,Słupca County
http://www.wikidata.org/entity/Q687757,powiat lubański,Lubań County
http://www.wikidata.org/entity/Q742875,powiat otwocki,Otwock County
http://www.wikidata.org/entity/Q1125787,powiat sochaczewski,Sochaczew County
http://www.wikidata.org/entity/Q687839,powiat lubiński,Lubin County
http://www.wikidata.org/entity/Q133260,powiat turecki,Turek County
http://www.wikidata.org/entity/Q1144110,powiat łaski,Łask County
http://www.wikidata.org/entity/Q1125855,powiat zgierski,Zgierz County
http://www.wikidata.org/entity/Q687989,powiat lwówecki,Lwówek Śląski County
http://www.wikidata.org/entity/Q133262,powiat wolsztyński,Wolsztyn County
http://www.wikidata.org/entity/Q1140756,powiat chrzanowski,Chrzanów County
http://www.wikidata.org/entity/Q1125865,powiat wysokomazowiecki,Wysokie Mazowieckie County
http://www.wikidata.org/entity/Q773774,powiat wodzisławski,Wodzisław County
http://www.wikidata.org/entity/Q773781,powiat rypiński,Rypin County
http://www.wikidata.org/entity/Q645851,powiat legnicki,Legnica County
http://www.wikidata.org/entity/Q1143041,powiat rawski,Rawa County
http://www.wikidata.org/entity/Q774738,powiat wąbrzeski,Wąbrzeźno County
http://www.wikidata.org/entity/Q650180,powiat toruński,Toruń County
http://www.wikidata.org/entity/Q1135380,powiat dąbrowski,Dąbrowa County
http://www.wikidata.org/entity/Q1129286,powiat człuchowski,Człuchów County
http://www.wikidata.org/entity/Q1130338,powiat bartoszycki,Bartoszyce County
http://www.wikidata.org/entity/Q1144074,powiat sandomierski,Sandomierz County
http://www.wikidata.org/entity/Q1144118,powiat opoczyński,Opoczno County
http://www.wikidata.org/entity/Q1135385,powiat działdowski,Działdowo County
http://www.wikidata.org/entity/Q1130348,powiat mrągowski,Mrągowo County
http://www.wikidata.org/entity/Q18227843,powiat oszmiański,Oshmiana district
http://www.wikidata.org/entity/Q42887355,Powiat gdański,Gdańsk county
http://www.wikidata.org/entity/Q654050,powiat janowski,Janów Lubelski County
http://www.wikidata.org/entity/Q11825803,powiat wołożyński,Valozhyn County
http://www.wikidata.org/entity/Q280091,powiat wałbrzyski,Wałbrzych County
http://www.wikidata.org/entity/Q133265,powiat wągrowiecki,Wągrowiec County
http://www.wikidata.org/entity/Q1135390,powiat nowodworski,Nowy Dwór Mazowiecki County
http://www.wikidata.org/entity/Q1134112,powiat żywiecki,Żywiec County
http://www.wikidata.org/entity/Q1145203,powiat lęborski,Lębork County
http://www.wikidata.org/entity/Q1144129,powiat opatowski,Opatów County
http://www.wikidata.org/entity/Q692459,powiat stalowowolski,Stalowa Wola County
http://www.wikidata.org/entity/Q654524,powiat ostrowiecki,Ostrowiec County
http://www.wikidata.org/entity/Q302851,powiat koszaliński,Koszalin County
http://www.wikidata.org/entity/Q133172,powiat grodziski,Grodzisk Wielkopolski County
http://www.wikidata.org/entity/Q133268,powiat wrzesiński,Września County
http://www.wikidata.org/entity/Q133170,powiat gostyński,Gostyń County
http://www.wikidata.org/entity/Q715413,powiat milicki,Milicz County
http://www.wikidata.org/entity/Q317818,powiat gorzowski,Gorzów County
http://www.wikidata.org/entity/Q133272,powiat złotowski,Złotów County
http://www.wikidata.org/entity/Q1135395,powiat nidzicki,Nidzica County
http://www.wikidata.org/entity/Q743873,powiat makowski,Maków County
http://www.wikidata.org/entity/Q750491,powiat aleksandrowski,Aleksandrów County
http://www.wikidata.org/entity/Q715475,powiat oławski,Oława County
http://www.wikidata.org/entity/Q774833,powiat włocławski,Włocławek County
http://www.wikidata.org/entity/Q133176,powiat jarociński,Jarocin County
http://www.wikidata.org/entity/Q133280,powiat średzki,Środa Wielkopolska County
http://www.wikidata.org/entity/Q1135401,powiat ostrowski,Ostrów Mazowiecka County
http://www.wikidata.org/entity/Q774944,powiat świecki,Świecie County
http://www.wikidata.org/entity/Q750576,powiat bydgoski,Bydgoszcz County
http://www.wikidata.org/entity/Q1125880,powiat pajęczański,Pajęczno County
http://www.wikidata.org/entity/Q780602,powiat gołdapski,Gołdap County
http://www.wikidata.org/entity/Q133178,powiat kaliski,Kalisz County
http://www.wikidata.org/entity/Q317835,powiat krośnieński,Krosno Odrzańskie County
http://www.wikidata.org/entity/Q1135409,powiat iławski,Iława County
http://www.wikidata.org/entity/Q133218,powiat ostrzeszowski,Ostrzeszów County
http://www.wikidata.org/entity/Q1145214,powiat kościerski,Kościerzyna County
http://www.wikidata.org/entity/Q1125892,powiat grodziski,Grodzisk Mazowiecki County
http://www.wikidata.org/entity/Q133230,powiat pilski,Piła County
http://www.wikidata.org/entity/Q317917,powiat międzyrzecki,Międzyrzecz County
http://www.wikidata.org/entity/Q1145501,powiat kłobucki,Kłobuck County
http://www.wikidata.org/entity/Q1125909,powiat grajewski,Grajewo County
http://www.wikidata.org/entity/Q133282,powiat śremski,Śrem County
http://www.wikidata.org/entity/Q133236,powiat pleszewski,Pleszew County
http://www.wikidata.org/entity/Q1411583,powiat sławieński,Sławno County
http://www.wikidata.org/entity/Q138001,powiat nowomiejski,Nowe Miasto County
http://www.wikidata.org/entity/Q1145533,powiat lubliniecki,Lubliniec County
http://www.wikidata.org/entity/Q317943,powiat nowosolski,Nowa Sól County
http://www.wikidata.org/entity/Q1135341,powiat kętrzyński,Kętrzyn County
http://www.wikidata.org/entity/Q1410659,powiat choszczeński,Choszczno County
http://www.wikidata.org/entity/Q163121,powiat bieszczadzki,Bieszczady County
http://www.wikidata.org/entity/Q1145560,powiat tarnogórski,Tarnowskie Góry County
http://www.wikidata.org/entity/Q1411593,powiat drawski,Drawsko County
http://www.wikidata.org/entity/Q782558,powiat lipski,Lipsko County
http://www.wikidata.org/entity/Q1135345,powiat sejneński,Sejny County
http://www.wikidata.org/entity/Q1411599,powiat pyrzycki,Pyrzyce County
http://www.wikidata.org/entity/Q1135416,powiat radomszczański,Radomsko County
http://www.wikidata.org/entity/Q770911,powiat nowotarski,Nowy Targ County
http://www.wikidata.org/entity/Q772111,powiat krasnostawski,Krasnystaw County
http://www.wikidata.org/entity/Q855537,powiat włodawski,Włodawa County
http://www.wikidata.org/entity/Q1135355,powiat poddębicki,Poddębice County
http://www.wikidata.org/entity/Q1138169,powiat bytowski,Bytów County
http://www.wikidata.org/entity/Q133180,powiat kolski,Koło County
http://www.wikidata.org/entity/Q133185,powiat koniński,Konin County
http://www.wikidata.org/entity/Q772520,powiat chełmiński,Chełmno County
http://www.wikidata.org/entity/Q910824,powiat bialski,Biała Podlaska County
http://www.wikidata.org/entity/Q715538,powiat polkowicki,Polkowice County
http://www.wikidata.org/entity/Q1138177,powiat słupski,Słupsk County
http://www.wikidata.org/entity/Q133188,powiat kościański,Kościan County
http://www.wikidata.org/entity/Q1147627,powiat brzozowski,Brzozów County
http://www.wikidata.org/entity/Q1145567,powiat częstochowski,Częstochowa County
http://www.wikidata.org/entity/Q318376,powiat wschowski,Wschowa County
http://www.wikidata.org/entity/Q772782,powiat golubsko-dobrzyński,Golub-Dobrzyń County
http://www.wikidata.org/entity/Q715630,powiat trzebnicki,Trzebnica County
http://www.wikidata.org/entity/Q1146888,powiat bieruńsko-lędziński,Bieruń-Lędziny County
http://www.wikidata.org/entity/Q1147644,powiat dębicki,Dębica County
http://www.wikidata.org/entity/Q461537,powiat nyski,Nysa County
http://www.wikidata.org/entity/Q318384,powiat zielonogórski,Zielona Góra County
http://www.wikidata.org/entity/Q715925,powiat wołowski,Wołów County
http://www.wikidata.org/entity/Q462006,powiat oleski,Olesno County
http://www.wikidata.org/entity/Q1147184,powiat mielecki,Mielec County
http://www.wikidata.org/entity/Q1149128,powiat krośnieński,Krosno County
http://www.wikidata.org/entity/Q1163159,powiat łobeski,Łobez County
http://www.wikidata.org/entity/Q318397,powiat świebodziński,Świebodzin County
http://www.wikidata.org/entity/Q1164895,powiat pabianicki,Pabianice County
http://www.wikidata.org/entity/Q942452,powiat kartuski,Kartuzy County
http://www.wikidata.org/entity/Q1165710,powiat gdański,Gdańsk County
http://www.wikidata.org/entity/Q1147561,powiat proszowicki,Proszowice County
http://www.wikidata.org/entity/Q1277165,powiat zduńskowolski,Zduńska Wola County
http://www.wikidata.org/entity/Q943131,powiat sokólski,Sokółka County
http://www.wikidata.org/entity/Q318459,powiat żarski,Żary County
http://www.wikidata.org/entity/Q586958,powiat wieruszowski,Wieruszów County
http://www.wikidata.org/entity/Q594084,powiat rybnicki,Rybnik County
http://www.wikidata.org/entity/Q318442,powiat żagański,Żagań County
http://www.wikidata.org/entity/Q462066,powiat opolski,Opole County
http://www.wikidata.org/entity/Q913353,powiat puławski,Puławy County
http://www.wikidata.org/entity/Q947468,powiat mławski,Mława County
http://www.wikidata.org/entity/Q597774,powiat sępoleński,Sępólno County
http://www.wikidata.org/entity/Q931478,powiat bielski,Bielsk County
http://www.wikidata.org/entity/Q1340528,powiat świdwiński,Świdwin County
http://www.wikidata.org/entity/Q597977,powiat tucholski,Tuchola County
http://www.wikidata.org/entity/Q910918,powiat biłgorajski,Biłgoraj County
http://www.wikidata.org/entity/Q935406,powiat sierpecki,Sierpc County
http://www.wikidata.org/entity/Q967087,powiat węgorzewski,Węgorzewo County
http://www.wikidata.org/entity/Q911203,powiat chełmski,Chełm County
http://www.wikidata.org/entity/Q1340537,powiat jasielski,Jasło County
http://www.wikidata.org/entity/Q913458,powiat radzyński,Radzyń Podlaski County
http://www.wikidata.org/entity/Q970547,powiat gorlicki,Gorlice County
http://www.wikidata.org/entity/Q935418,powiat szydłowiecki,Szydłowiec County
http://www.wikidata.org/entity/Q913563,powiat rycki,Ryki County
http://www.wikidata.org/entity/Q912706,powiat lubartowski,Lubartów County
http://www.wikidata.org/entity/Q1340547,powiat łańcucki,Łańcut County
http://www.wikidata.org/entity/Q975454,powiat brzeski,Brzesko County
http://www.wikidata.org/entity/Q558417,powiat gryficki,Gryfice County
http://www.wikidata.org/entity/Q462130,powiat prudnicki,Prudnik County
http://www.wikidata.org/entity/Q972886,powiat będziński,Będzin County
http://www.wikidata.org/entity/Q572754,powiat chojnicki,Chojnice County
http://www.wikidata.org/entity/Q558696,powiat policki,Police County
http://www.wikidata.org/entity/Q577199,powiat żniński,Żnin County
http://www.wikidata.org/entity/Q976871,powiat bełchatowski,Bełchatów County
http://www.wikidata.org/entity/Q583446,powiat nakielski,Nakło County
http://www.wikidata.org/entity/Q1147568,powiat brzeziński,Brzeziny County
http://www.wikidata.org/entity/Q1280815,powiat suski,Sucha County
http://www.wikidata.org/entity/Q1147572,powiat lubaczowski,Lubaczów County
http://www.wikidata.org/entity/Q947480,powiat gostyniński,Gostynin County
http://www.wikidata.org/entity/Q462179,powiat strzelecki,Strzelce County
http://www.wikidata.org/entity/Q559467,powiat oleśnicki,Oleśnica County
http://www.wikidata.org/entity/Q1121959,powiat piaseczyński,Piaseczno County
http://www.wikidata.org/entity/Q1310064,powiat leżajski,Leżajsk County
http://www.wikidata.org/entity/Q1147576,powiat lidzbarski,Lidzbark County
http://www.wikidata.org/entity/Q947495,powiat płocki,Płock County
http://www.wikidata.org/entity/Q1147584,powiat tatrzański,Tatra County
http://www.wikidata.org/entity/Q517383,powiat kutnowski,Kutno County
http://www.wikidata.org/entity/Q1331801,powiat łódzki wschodni,Łódź East County
http://www.wikidata.org/entity/Q913630,powiat tomaszowski,Tomaszów Lubelski County
http://www.wikidata.org/entity/Q604053,powiat mogileński,Mogilno County
http://www.wikidata.org/entity/Q1125749,powiat zambrowski,Zambrów County
http://www.wikidata.org/entity/Q947509,powiat łosicki,Łosice County
http://www.wikidata.org/entity/Q1147589,powiat bocheński,Bochnia County
http://www.wikidata.org/entity/Q914135,powiat zamojski,Zamość County
http://www.wikidata.org/entity/Q936138,powiat pruszkowski,Pruszków County
http://www.wikidata.org/entity/Q605641,powiat żuromiński,Żuromin County
http://www.wikidata.org/entity/Q914615,powiat łukowski,Łuków County
http://www.wikidata.org/entity/Q1340564,powiat bielski,Bielsko County
http://www.wikidata.org/entity/Q1340573,powiat wadowicki,Wadowice County
http://www.wikidata.org/entity/Q936147,powiat pułtuski,Pułtusk County
http://www.wikidata.org/entity/Q1147594,powiat tarnobrzeski,Tarnobrzeg County
http://www.wikidata.org/entity/Q326895,powiat gryfiński,Gryfino County
http://www.wikidata.org/entity/Q606486,powiat tomaszowski,Tomaszów Mazowiecki County
http://www.wikidata.org/entity/Q517800,powiat łęczycki,Łęczyca County
http://www.wikidata.org/entity/Q1340585,powiat limanowski,Limanowa County
http://www.wikidata.org/entity/Q379162,powiat siedlecki,Siedlce County
http://www.wikidata.org/entity/Q607263,powiat malborski,Malbork County
http://www.wikidata.org/entity/Q936157,powiat żyrardowski,Żyrardów County
http://www.wikidata.org/entity/Q608078,powiat przasnyski,Przasnysz County
http://www.wikidata.org/entity/Q552043,powiat brodnicki,Brodnica County
http://www.wikidata.org/entity/Q1340594,powiat sanocki,Sanok County
http://www.wikidata.org/entity/Q427726,powiat wyszkowski,Wyszków County
http://www.wikidata.org/entity/Q936168,powiat radomski,Radom County
http://www.wikidata.org/entity/Q947536,powiat miński,Mińsk County
http://www.wikidata.org/entity/Q1335517,powiat włoszczowski,Włoszczowa County
http://www.wikidata.org/entity/Q554313,powiat raciborski,Racibórz County
http://www.wikidata.org/entity/Q1335529,powiat konecki,Końskie County
http://www.wikidata.org/entity/Q912777,powiat lubelski,Lublin County
http://www.wikidata.org/entity/Q609424,powiat wielicki,Wieliczka County
http://www.wikidata.org/entity/Q1335538,powiat ropczycko-sędziszowski,Ropczyce-Sędziszów County
http://www.wikidata.org/entity/Q914769,powiat łęczyński,Łęczna County
http://www.wikidata.org/entity/Q912974,powiat opolski,Opole Lubelskie County
http://www.wikidata.org/entity/Q947561,powiat grójecki,Grójec County
http://www.wikidata.org/entity/Q610857,powiat ostrołęcki,Ostrołęka County
http://www.wikidata.org/entity/Q915920,powiat świdnicki,Świdnik County
http://www.wikidata.org/entity/Q1335561,powiat kraśnicki,Kraśnik County
http://www.wikidata.org/entity/Q615905,powiat moniecki,Mońki County
http://www.wikidata.org/entity/Q913021,powiat parczewski,Parczew County
http://www.wikidata.org/entity/Q924007,powiat garwoliński,Garwolin County
http://www.wikidata.org/entity/Q947574,powiat kozienicki,Kozienice County
http://www.wikidata.org/entity/Q628908,Powiat morąski,Morąski County
http://www.wikidata.org/entity/Q629018,powiat niżański,Nisko County
http://www.wikidata.org/entity/Q1340605,powiat kołobrzeski,Kołobrzeg County
http://www.wikidata.org/entity/Q554844,powiat pszczyński,Pszczyna County
http://www.wikidata.org/entity/Q631754,powiat głogowski,Głogów County
http://www.wikidata.org/entity/Q936180,powiat wołomiński,Wołomin County
http://www.wikidata.org/entity/Q461205,powiat brzeski,Brzeg County
http://www.wikidata.org/entity/Q555048,powiat gliwicki,Gliwice County
http://www.wikidata.org/entity/Q1340613,powiat olkuski,Olkusz County
http://www.wikidata.org/entity/Q936195,powiat płoński,Płońsk County
http://www.wikidata.org/entity/Q555892,powiat piski,Pisz County
http://www.wikidata.org/entity/Q461252,powiat głubczycki,Głubczyce County
http://www.wikidata.org/entity/Q1340622,powiat myszkowski,Myszków County
http://www.wikidata.org/entity/Q556474,powiat szczycieński,Szczytno County
http://www.wikidata.org/entity/Q1340630,powiat stargardzki,Stargard County
http://www.wikidata.org/entity/Q1335579,powiat przeworski,Przeworsk County
http://www.wikidata.org/entity/Q461292,powiat kluczborski,Kluczbork County
http://www.wikidata.org/entity/Q1164883,powiat braniewski,Braniewo County
http://www.wikidata.org/entity/Q1335594,powiat kielecki,Kielce County
http://www.wikidata.org/entity/Q1164885,powiat wałecki,Wałcz County
http://www.wikidata.org/entity/Q1147602,powiat nowosądecki,Nowy Sącz County
http://www.wikidata.org/entity/Q948486,powiat nowodworski,Nowy Dwór Gdański County
http://www.wikidata.org/entity/Q1335605,powiat leski,Lesko County
http://www.wikidata.org/entity/Q954889,powiat strzyżowski,Strzyżów County
http://www.wikidata.org/entity/Q1164890,powiat krakowski,Kraków County
http://www.wikidata.org/entity/Q1147610,powiat miechowski,Miechów County
http://www.wikidata.org/entity/Q936211,powiat sokołowski,Sokołów County
http://www.wikidata.org/entity/Q959228,powiat myślenicki,Myślenice County
http://www.wikidata.org/entity/Q1147618,powiat oświęcimski,Oświęcim County
http://www.wikidata.org/entity/Q924064,powiat ciechanowski,Ciechanów County
http://www.wikidata.org/entity/Q936235,powiat przysuski,Przysucha County
http://www.wikidata.org/entity/Q926739,powiat zwoleński,Zwoleń County
http://www.wikidata.org/entity/Q461430,powiat krapkowicki,Krapkowice County
http://www.wikidata.org/entity/Q939532,powiat węgrowski,Węgrów County
http://www.wikidata.org/entity/Q927212,powiat warszawski zachodni,Warsaw West County
http://www.wikidata.org/entity/Q461455,powiat kędzierzyńsko-kozielski,Kędzierzyn-Koźle County
http://www.wikidata.org/entity/Q1335628,powiat rzeszowski,Rzeszów County
http://www.wikidata.org/entity/Q1335648,powiat buski,Busko County
http://www.wikidata.org/entity/Q556479,powiat ostródzki,Ostróda County
http://www.wikidata.org/entity/Q1335664,powiat kazimierski,Kazimierza County
http://www.wikidata.org/entity/Q558403,powiat myśliborski,Myślibórz County
http://www.wikidata.org/entity/Q1335675,powiat jędrzejowski,Jędrzejów County
http://www.wikidata.org/entity/Q558408,powiat szczecinecki,Szczecinek County
